978-0-04-943050-1,"Kolb","Eberhard"
978-0-04-944009-8,"Palmer","R.R."
978-0-04-944010-4,"Palmer","R.R."
978-0-04-944012-8,"Buisseret","David"
978-0-04-944013-5,"Bury","J.P.T."
978-0-04-944017-3,"Benedict","Philip"
978-0-04-945008-0,"Andrieux","Maurice"
978-0-04-945010-3,"Andrieux","Maurice"
978-0-04-945012-7,"Davis","Melton"
978-0-04-946004-1,"Hansson","Per"
978-0-04-946006-5,"Fitton","Mary"
978-0-04-946007-2,"Hutten Hirschlaff","Ernest"
978-0-04-946008-9,"Burckhardt","Titus"
978-0-04-946009-6,"Gallo","Max"
978-0-04-946011-9,"Grice-Hutchinson","Marjorie"
978-0-04-946012-6,"Carr","Raymond"
978-0-04-946013-3,"Robinson","Richard"
978-0-04-946014-0,"Carr","Raymond"
978-0-04-947004-0,"Masaryk","T.G."
978-0-04-947009-5,"Pethybridge","Roger"
978-0-04-947020-0,"Molnar","Miklos"
978-0-04-947021-7,"Haupt","Georges"
978-0-04-947022-4,"Davies","R.W."
978-0-04-947025-5,"Mawdsley","Evan"
978-0-04-948002-5,"Samuelsson","Kurt"
978-0-04-948003-2,"Kingston","Thomas"
978-0-04-950013-6,"Cook","Arthur"
978-0-04-950014-3,"Hudson","G.Francis"
978-0-04-950015-0,"King","John"
978-0-04-950023-5,"Thorne","Christopher"
978-0-04-951009-8,"Russell","Bertrand"
978-0-04-951011-1,"Waley","Arthur"
978-0-04-951012-8,"Waley","Arthur"
978-0-04-951014-2,"McAleavy","Henry"
978-0-04-951015-9,"Carrington","Luther"
978-0-04-951017-3,"Sewell","William"
978-0-04-951018-0,"Bernstein","Jeremy"
978-0-04-951020-3,"Legge","James"
978-0-04-951021-0,"Loewe","Michael"
978-0-04-951026-5,"Terzani","Tiziano"
978-0-04-952003-5,"Poole","O.M."
978-0-04-952006-6,"Frederic","Louis"
978-0-04-952010-3,"Axelbank","Albert"
978-0-04-952012-7,"Beasley","W.G."
